periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
2000-2020,SHAC_220,5424010,FUNDO EL CARMEN,1.56657957822856e-4,0.05718015460534245,0,1,21,20,1.05,-71.17176756,-32.76189317
2000-2020,SHAC_220,5424012,CONCHALI,3.004043795493934e-4,0.1096475985355286,0,1,18,20,0.9,-71.15662562,-32.79431312
2000-2020,SHAC_220,5425006,PARCELA SAN ANTONIO,2.8828156815996565e-5,0.010522277237838747,0.04993581771850586,1,21,20,1.05,-71.20516138,-32.79858071
2000-2020,SHAC_220,5427010,A.P. OLMUE,3.6529689132420035e-4,0.13333336533333312,0.012765884399414063,1,15,20,0.75,-71.11547512,-32.82940126
2000-2020,SHAC_221,5425004,CALLEJON ZARAVIA,6.844954505700312e-5,0.02498408394580614,0.23582303524017334,0,19,20,0.95,-71.22723603,-32.81845292
2000-2020,SHAC_221,5425005,CALLE SANTA MARIA,-2.941176470588235e-4,-0.10735294117647058,0.4357098937034607,0,12,20,0.6,-71.22882185,-32.83661357
2000-2020,SHAC_221,5426005,FUNDO ESMERALDA (1),8.578782156133828e-5,0.03131255486988847,0,1,21,20,1.05,-71.25657172,-32.91750049
2000-2020,SHAC_221,5426006,FUNDO ESMERALDA (2),1.0692986986256836e-4,0.039029402499837454,0,1,21,20,1.05,-71.25652012,-32.91757356
2000-2020,SHAC_221,5426007,FUNDO EL PROGRESO,2.5634455754934636e-4,0.09356576350551142,0,1,21,20,1.05,-71.22865304,-32.79736207
2000-2020,SHAC_221,5426008,FUNDO SAN ANTONIO,-3.1319907382550305e-5,-0.011431766194630861,0.44948500394821167,0,21,20,1.05,-71.22861395,-32.79750705
2000-2020,SHAC_221,5426009,ASENTAMIENTO EL CAJON,5.7238555968120815e-5,0.0208920729283641,0.03077244758605957,1,18,20,0.9,-71.26840097,-32.93819802
2000-2020,SHAC_221,5426011,FUNDO ESMERALDA (3),-1.5141697391170575e-5,-0.0055267195477772596,0.8995044231414795,0,12,20,0.6,-71.31049787,-32.90717275
2000-2020,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,2.0072378098151653e-4,0.07326418005825354,0,1,18,20,0.9,-71.20391021,-32.8741272
2000-2020,SHAC_221,5426015,PARCELA 12 LA CRUZ,3.187613524590161e-5,0.011634789364754086,0.06013131141662598,0,21,20,1.05,-71.2046332,-32.8463486
2000-2020,SHAC_221,5426016,SAN ISIDRO PUENTE,1.7692233243715618e-4,0.064576651339562,0,1,19,20,0.95,-71.24692776,-32.90183931
2000-2020,SHAC_221,5426020,LAS CRUZADAS,8.116162019355857e-4,0.2962399137064888,0,1,21,20,1.05,-71.29507,-32.93648442
2000-2020,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,7.444167543424319e-5,0.027171211533498763,2.7418136596679688e-06,1,21,20,1.05,-71.22095055,-32.90606406
2000-2020,SHAC_222,5427011,FUNDO EL ROCIO,6.456954589403974e-4,0.23567884251324503,1.0418891906738281e-4,1,17,20,0.85,-71.24191508,-33.02675085
2000-2020,SHAC_222,5427012,SAN CARLOS PELUMPEN,5.718677453042599e-6,0.0020873172703605486,0.9628212451934814,0,13,20,0.65,-71.190709,-33.01443184
2000-2020,SHAC_223,5422003,A.P. LLAY LLAY (1),2.296471928407061e-4,0.08382122538685773,0,1,19,20,0.95,-70.96017932,-32.84360942
2000-2020,SHAC_223,5422003,LLAY LLAY (1),2.296471928407061e-4,0.08382122538685773,0,1,19,20,0.95,-70.96017932,-32.84360942
2000-2020,SHAC_223,5422005,A.P. LLAY LLAY (2),2.4502618764397904e-4,0.08943455849005236,0.007568717002868652,1,8,20,0.4,-70.95805645,-32.84472487
2000-2020,SHAC_224,5414008,PERFIL PUTAENDO (1),0.0038370574311700975,1.4005259623770856,0,1,17,20,0.85,-70.75070774,-32.69113022
