periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,Invierno,SHAC_220,5424006,PUCALAN DE NOGALES,0.022499995875000005,0.09574663639068604,0,16,20,0.8,-71.19913908,-32.71654211
1980-2000,Invierno,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.16926283141987178,0.06967532634735107,0,17,20,0.85,-71.19910174,-32.7167592
1980-2000,Invierno,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.07153845858547009,0.26035046577453613,0,16,20,0.8,-71.19693963,-32.69166388
1980-2000,Invierno,SHAC_220,5424010,FUNDO EL CARMEN,-0.014374999937500004,0.3923143744468689,0,16,20,0.8,-71.17176756,-32.76189317
1980-2000,Invierno,SHAC_220,5424012,CONCHALI,0.025364585773674245,0.39231443405151367,0,16,20,0.8,-71.15662562,-32.79431312
1980-2000,Invierno,SHAC_220,5425006,PARCELA SAN ANTONIO,0.00999998211111117,0.16099309921264648,0,17,20,0.85,-71.20516138,-32.79858071
1980-2000,Invierno,SHAC_220,5427010,A.P. OLMUE,0.013333320499999838,0.5915050506591797,0,10,20,0.5,-71.11547512,-32.82940126
1980-2000,Invierno,SHAC_221,5425004,CALLEJON ZARAVIA,0.07666667333333284,0.6404287815093994,0,11,20,0.55,-71.22723603,-32.81845292
1980-2000,Invierno,SHAC_221,5425005,CALLE SANTA MARIA,0.05514282841428569,0.2660517692565918,0,17,20,0.85,-71.22882185,-32.83661357
1980-2000,Invierno,SHAC_221,5426005,FUNDO ESMERALDA (1),-0.014060457314052288,0.018875546753406525,1,17,20,0.85,-71.25657172,-32.91750049
1980-2000,Invierno,SHAC_221,5426006,FUNDO ESMERALDA (2),-0.013541667819444438,0.05286114662885666,0,17,20,0.85,-71.25652012,-32.91757356
1980-2000,Invierno,SHAC_221,5426007,FUNDO EL PROGRESO,0.014642861642857129,0.26523923873901367,0,17,20,0.85,-71.22865304,-32.79736207
1980-2000,Invierno,SHAC_221,5426008,FUNDO SAN ANTONIO,0.044999976750000045,0.7833642959594727,0,12,20,0.6,-71.22861395,-32.79750705
1980-2000,Invierno,SHAC_221,5426009,ASENTAMIENTO EL CAJON,-0.054999997946428576,0.04736725240945816,1,16,20,0.8,-71.26840097,-32.93819802
1980-2000,Invierno,SHAC_221,5426011,FUNDO ESMERALDA (3),0.017333331700000003,0.1494654417037964,0,18,20,0.9,-71.31049787,-32.90717275
