periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,años_totales,percent,lon,lat
1982-2022,Primavera,SHAC_220,5423020,FUNDO ESPERANZA,-0.018888897333333335,0.8043360710144043,0,15,41,0.36585365853658536,-71.1021442,-32.8538395
1982-2022,Verano,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.038222222533333336,3.0994415283203125e-6,1,28,41,0.6829268292682927,-71.1549188,-32.8138394
1982-2022,Otoño,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.03333333624999999,2.6226043701171875e-6,1,30,41,0.7317073170731707,-71.1549188,-32.8138394
1982-2022,Invierno,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.03266666533333334,5.888938903808594e-5,1,23,41,0.5609756097560976,-71.1549188,-32.8138394
1982-2022,Primavera,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.027583342929166657,1.33514404296875e-5,1,29,41,0.7073170731707317,-71.1549188,-32.8138394
1982-2022,Verano,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.0133333350231884,0.0010491609573364258,1,32,41,0.7804878048780488,-71.0820648,-32.8280678
1982-2022,Otoño,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.009749999650000002,0.031497836112976074,1,34,41,0.8292682926829268,-71.0820648,-32.8280678
1982-2022,Invierno,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.00888888705555556,0.08280277252197266,0,34,41,0.8292682926829268,-71.0820648,-32.8280678
1982-2022,Primavera,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.01327381021309524,5.1856040954589844e-5,1,33,41,0.8048780487804879,-71.0820648,-32.8280678
1982-2022,Verano,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.018114034181140354,0.0015614032745361328,1,33,41,0.8048780487804879,-71.146715,-32.8066487
1982-2022,Otoño,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.030166670472619048,2.9802322387695313e-06,1,36,41,0.8780487804878049,-71.146715,-32.8066487
1982-2022,Invierno,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.013448275379310348,0.04359543323516846,1,35,41,0.8536585365853658,-71.146715,-32.8066487
1982-2022,Primavera,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.01937500387499999,8.308887481689453e-5,1,38,41,0.926829268292683,-71.146715,-32.8066487
1982-2022,Verano,SHAC_220,5424006,PUCALAN DE NOGALES,0.08453124998333332,0.006029844284057617,1,28,41,0.6829268292682927,-71.199139,-32.7165421
1982-2022,Otoño,SHAC_220,5424006,PUCALAN DE NOGALES,0.08265624756250001,3.8492679595947266e-4,1,33,41,0.8048780487804879,-71.199139,-32.7165421
1982-2022,Invierno,SHAC_220,5424006,PUCALAN DE NOGALES,0.04207792034902597,4.837512969970703e-4,1,29,41,0.7073170731707317,-71.199139,-32.7165421
1982-2022,Primavera,SHAC_220,5424006,PUCALAN DE NOGALES,0.030104169829166666,0.004772067070007324,1,32,41,0.7804878048780488,-71.199139,-32.7165421
1982-2022,Verano,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.06630951736904761,0.03092658519744873,1,37,41,0.9024390243902439,-71.1991017,-32.7167592
1982-2022,Otoño,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.0891379282413793,6.389617919921875e-5,1,38,41,0.926829268292683,-71.1991017,-32.7167592
1982-2022,Invierno,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.12862178147115388,3.6954879760742188e-06,1,37,41,0.9024390243902439,-71.1991017,-32.7167592
1982-2022,Primavera,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.08474747341414142,3.337860107421875e-5,1,38,41,0.926829268292683,-71.1991017,-32.7167592
1982-2022,Verano,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.04479166866666667,0.01273643970489502,1,34,41,0.8292682926829268,-71.1969396,-32.6916638
1982-2022,Otoño,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.11446429493749986,1.798868179321289e-4,1,36,41,0.8780487804878049,-71.1969396,-32.6916638
1982-2022,Invierno,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.10541666979444446,8.463859558105469e-6,1,36,41,0.8780487804878049,-71.1969396,-32.6916638
1982-2022,Primavera,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.050749999299999994,0.002766251564025879,1,38,41,0.926829268292683,-71.1969396,-32.6916638
1982-2022,Verano,SHAC_220,5424010,FUNDO EL CARMEN,0.03447222318750001,1.2099742889404297e-4,1,33,41,0.8048780487804879,-71.1717675,-32.7618931
1982-2022,Otoño,SHAC_220,5424010,FUNDO EL CARMEN,0.019999995799999983,8.956193923950195e-4,1,34,41,0.8292682926829268,-71.1717675,-32.7618931
1982-2022,Invierno,SHAC_220,5424010,FUNDO EL CARMEN,0.02535185162962963,3.063678741455078e-5,1,33,41,0.8048780487804879,-71.1717675,-32.7618931
1982-2022,Primavera,SHAC_220,5424010,FUNDO EL CARMEN,0.025833333541666666,2.9802322387695313e-05,1,38,41,0.926829268292683,-71.1717675,-32.7618931
1982-2022,Verano,SHAC_220,5424012,CONCHALI,0.0516666703888889,5.382299423217773e-4,1,23,41,0.5609756097560976,-71.1566256,-32.7943131
1982-2022,Otoño,SHAC_220,5424012,CONCHALI,0.06056250483124999,1.0728836059570313e-06,1,29,41,0.7073170731707317,-71.1566256,-32.7943131
